"filename", "language", "Markdown", "C#", "XML", "MS SQL", "ASP.NET Razor", "PostCSS", "JavaScript", "comment", "blank", "total"
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\StokPlaceholderForms.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 211, 2, 213
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\StokTransferiForm.Designer.cs", "C#", 0, 222, 0, 0, 0, 0, 0, 68, 8, 298
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\StokTransferiForm.cs", "C#", 0, 318, 0, 0, 0, 0, 0, 18, 49, 385
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\StokTransferiForm_New.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 218, 2, 220
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\StokYonetimiForm.Designer.cs", "C#", 0, 602, 0, 0, 0, 0, 0, 159, 9, 770
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\StokYonetimiForm.cs", "C#", 0, 413, 0, 0, 0, 0, 0, 31, 61, 505
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\StokYonetimiFormNew.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\UrunDetayForm.Designer.cs", "C#", 0, 448, 0, 0, 0, 0, 0, 125, 9, 582
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\UrunDetayForm.cs", "C#", 0, 60, 0, 0, 0, 0, 0, 6, 13, 79
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\UrunDuzenleForm.Designer.cs", "C#", 0, 388, 0, 0, 0, 0, 0, 95, 9, 492
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.WinForms\Forms\UrunDuzenleForm.cs", "C#", 0, 226, 0, 0, 0, 0, 0, 8, 34, 268
