"filename", "language", "C#", "XML", "Markdown", "PostCSS", "ASP.NET Razor", "JavaScript", "MS SQL", "comment", "blank", "total"
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\CariTransaction.cs", "C#", 31, 0, 0, 0, 0, 0, 0, 1, 11, 43
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\CariType.cs", "C#", 23, 0, 0, 0, 0, 0, 0, 1, 8, 32
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\Collection.cs", "C#", 33, 0, 0, 0, 0, 0, 0, 1, 12, 46
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\Payment.cs", "C#", 33, 0, 0, 0, 0, 0, 0, 1, 12, 46
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\PaymentType.cs", "C#", 24, 0, 0, 0, 0, 0, 0, 1, 8, 33
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\Product.cs", "C#", 41, 0, 0, 0, 0, 0, 0, 1, 16, 58
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\ProductCategory.cs", "C#", 23, 0, 0, 0, 0, 0, 0, 1, 8, 32
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\PurchaseInvoice.cs", "C#", 38, 0, 0, 0, 0, 0, 0, 1, 16, 55
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\PurchaseInvoiceDetail.cs", "C#", 41, 0, 0, 0, 0, 0, 0, 1, 14, 56
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\Role.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 1, 7, 28
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\SalesInvoice.cs", "C#", 38, 0, 0, 0, 0, 0, 0, 1, 16, 55
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\SalesInvoiceDetail.cs", "C#", 41, 0, 0, 0, 0, 0, 0, 1, 14, 56
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\StockCard.cs", "C#", 26, 0, 0, 0, 0, 0, 0, 1, 10, 37
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\StockTransaction.cs", "C#", 39, 0, 0, 0, 0, 0, 0, 1, 15, 55
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\Unit.cs", "C#", 21, 0, 0, 0, 0, 0, 0, 1, 7, 29
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\User.cs", "C#", 28, 0, 0, 0, 0, 0, 0, 1, 11, 40
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\UserRole.cs", "C#", 20, 0, 0, 0, 0, 0, 0, 1, 6, 27
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Models\Warehouse.cs", "C#", 30, 0, 0, 0, 0, 0, 0, 1, 10, 41
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Program.cs", "C#", 134, 0, 0, 0, 0, 0, 0, 14, 26, 174
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\CariAccountRepository.cs", "C#", 117, 0, 0, 0, 0, 0, 0, 0, 19, 136
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\CollectionRepository.cs", "C#", 112, 0, 0, 0, 0, 0, 0, 0, 17, 129
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\GenericRepository.cs", "C#", 112, 0, 0, 0, 0, 0, 0, 0, 27, 139
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\ICariAccountRepository.cs", "C#", 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\ICollectionRepository.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\IGenericRepository.cs", "C#", 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\IPaymentRepository.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\IProductRepository.cs", "C#", 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\IPurchaseInvoiceRepository.cs", "C#", 21, 0, 0, 0, 0, 0, 0, 0, 1, 22
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\ISalesInvoiceRepository.cs", "C#", 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\IStockCardRepository.cs", "C#", 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\IStockTransactionRepository.cs", "C#", 19, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\IUnitOfWork.cs", "C#", 28, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\IUserRepository.cs", "C#", 17, 0, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\IWarehouseRepository.cs", "C#", 15, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\PaymentRepository.cs", "C#", 112, 0, 0, 0, 0, 0, 0, 0, 17, 129
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\ProductRepository.cs", "C#", 109, 0, 0, 0, 0, 0, 0, 0, 14, 123
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\PurchaseInvoiceRepository.cs", "C#", 154, 0, 0, 0, 0, 0, 0, 1, 33, 188
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\SalesInvoiceRepository.cs", "C#", 162, 0, 0, 0, 0, 0, 0, 1, 34, 197
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\StockCardRepository.cs", "C#", 172, 0, 0, 0, 0, 0, 0, 0, 26, 198
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\StockTransactionRepository.cs", "C#", 139, 0, 0, 0, 0, 0, 0, 0, 25, 164
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\UnitOfWork.cs", "C#", 82, 0, 0, 0, 0, 0, 0, 1, 9, 92
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\UserRepository.cs", "C#", 98, 0, 0, 0, 0, 0, 0, 4, 17, 119
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Repositories\WarehouseRepository.cs", "C#", 68, 0, 0, 0, 0, 0, 0, 0, 9, 77
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\AuthService.cs", "C#", 344, 0, 0, 0, 0, 0, 0, 11, 48, 403
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\CariAccountService.cs", "C#", 619, 0, 0, 0, 0, 0, 0, 0, 0, 619
"c:\Users\kursa\source\repos\MİniERP2_form_siifirdan\MiniERP.API\Services\CollectionService.cs", "C#", 309, 0, 0, 0, 0, 0, 0, 13, 52, 374
